date,orderId,total,shipping,subtotal,shipNameFirst,shipNameLast,shipAddress1,		shipAddress2,shipCity,shipState,shipZip,billNameFirst,billNameLast,billAddress1,billAddress2,		billCity,billState,billZip
1970-01-18 04:33:11,12000000028,79.18,0.93,78.25,Joyce,Kennedy,1241 Gray Ct,A-84,Baton Rouge,LA,70815,Joyce,Kennedy,1241 Gray Ct,A-84,Baton Rouge,LA,70815
1970-01-19 02:00:52,12000000029,56.2,4.0,52.2,Robert,Ward,9132 Hicks Ct,,York,PA,17405,Robert,Ward,9132 Hicks Ct,,York,PA,17405
1970-01-20 02:46:56,12000000030,66.93,3.63,63.3,Brandon,Murley,4541 Rainey Ave,,Nedrow,NY,13120,Brandon,Murley,4541 Rainey Ave,,Nedrow,NY,13120
1970-01-20 14:24:59,12000000031,43.82,2.18,41.64,Leonor,Velo,280 Reber Ct,A-29,Villa Ridge,MO,63089,Leonor,Velo,280 Reber Ct,A-29,Villa Ridge,MO,63089
1970-01-20 17:46:49,12000000032,95.34,2.3,93.04,Henry,Hamilton,5681 Baker Ave,,Portland,OR,97201,Henry,Hamilton,5681 Baker Ave,,Portland,OR,97201
1970-01-20 20:28:57,12000000033,182.24,4.34,177.9,Nicholas,Schulte,6299 Myers Rd,,Dime Box,TX,77853,Kellie,Seaton,4472 Molden St,,Doylestown,PA,18903
1970-01-21 17:15:13,12000000034,155.43,3.37,152.06,Irma,Fernandez,9768 Ahrens Ave,C28,Mcclusky,ND,58463,Irma,Fernandez,9768 Ahrens Ave,C28,Mcclusky,ND,58463
1970-01-22 20:25:39,12000000035,41.13,4.75,36.38,Elizabeth,Hughes,1007 English Blvd,,Lagrange,GA,30241,Elizabeth,Hughes,1007 English Blvd,,Lagrange,GA,30241
1970-01-23 16:51:00,12000000036,111.9,0.81,111.09,Jeanette,Lanzo,8419 Harris St,,Taft,CA,93268,Melody,Steinman,5053 Dean St,,Enterprise,MS,39330
1970-01-24 16:26:28,12000000037,132.79,1.02,131.77,Mary,Hickman,6828 Sheehan St,,Kimberly,WV,25118,Mary,Hickman,6828 Sheehan St,,Kimberly,WV,25118
1970-01-25 00:50:52,12000000038,105.26,2.7,102.56,Johnathon,Estrada,8001 Tanner Rd,D85,Piercy,CA,95587,Johnathon,Estrada,8001 Tanner Rd,D85,Piercy,CA,95587
1970-01-25 23:15:38,12000000039,109.62,3.31,106.31,Eugene,Mercier,5257 Baker Rd,,Horseshoe Bend,AR,72512,Eugene,Mercier,5257 Baker Rd,,Horseshoe Bend,AR,72512
1970-01-25 23:59:24,12000000040,186.05,3.82,182.23,Patricia,Case,5681 Cantrell Rd,,Clinton Township,MI,48036,Patricia,Case,5681 Cantrell Rd,,Clinton Township,MI,48036
1970-01-26 17:39:48,12000000041,114.16,1.24,112.92,Billy,Russell,9365 Kim St,,Muir,MI,48860,Billy,Russell,9365 Kim St,,Muir,MI,48860
1970-01-27 20:39:15,12000000042,86.69,1.28,85.41,Katie,Westbrooks,7884 Legrand Ave,,May,TX,76857,Myrna,Scott,2055 Musto,,Barberville,FL,32105
1970-01-28 19:14:19,12000000043,65.67,3.26,62.41,Patricia,Muchow,2086 Samuelson St,A-35,Henderson,CO,80640,Patricia,Muchow,2086 Samuelson St,A-35,Henderson,CO,80640
1970-01-28 19:49:56,12000000044,164.68,2.96,161.72,Lanette,Mattox,4861 Ortiz,D7,Novelty,OH,44072,Lanette,Mattox,4861 Ortiz,D7,Novelty,OH,44072
1970-01-29 15:30:08,12000000045,117.98,1.66,116.32,Paul,Heimsness,5813 Lindberg,,Grantville,GA,30220,Paul,Rodriguez,2406 Patterson Ave,,Sealy,TX,77474
1970-01-30 17:34:59,12000000046,91.2,0.81,90.39,Keith,Soto,2329 Havens Ave,Ste. A11,Baton Rouge,LA,70883,Keith,Soto,2329 Havens Ave,Ste. A11,Baton Rouge,LA,70883
1970-01-30 18:13:03,12000000047,93.41,2.98,90.43,Alejandrina,Herring,8453 Bright,,Coloma,WI,54930,Alejandrina,Herring,8453 Bright,,Coloma,WI,54930
1970-01-31 10:19:15,12000000048,95.25,0.95,94.3,Sharon,Goodwin,8342 Murphy Rd,,Stroh,IN,46789,Sharon,Goodwin,8342 Murphy Rd,,Stroh,IN,46789
1970-01-31 13:47:57,12000000049,112.3,4.34,107.96,Diana,Rogers,769 Santos Blvd,,Hartfield,VA,23071,Diana,Rogers,769 Santos Blvd,,Hartfield,VA,23071
1970-02-01 04:54:52,12000000050,143.49,3.98,139.51,Joe,Perez,8456 Gill Ave,,Sutter,IL,62373,Joe,Perez,8456 Gill Ave,,Sutter,IL,62373
1970-02-01 10:03:50,12000000051,179.91,0.91,179.0,Rhonda,Holloman,209 Monica Rd,D-57,Fairfield,IA,52557,Rhonda,Holloman,209 Monica Rd,D-57,Fairfield,IA,52557
1970-02-01 20:20:42,12000000052,51.66,4.05,47.61,Antonio,Beck,9167 Bennett Ct,,Cass Lake,MN,56633,Antonio,Beck,9167 Bennett Ct,,Cass Lake,MN,56633
1970-02-02 12:22:18,12000000053,67.9,2.05,65.85,Matthew,Carreras,4386 Campa Rd,,Axtell,TX,76624,Matthew,Carreras,4386 Campa Rd,,Axtell,TX,76624
1970-02-03 00:47:15,12000000054,146.16,4.82,141.34,Franklin,Withers,2898 Martin Rd,,Plum,TX,78952,Franklin,Withers,2898 Martin Rd,,Plum,TX,78952
1970-02-03 08:52:49,12000000055,164.69,1.78,162.91,Julio,Smith,2070 Przybyla Blvd,,Spring,TX,77380,Julio,Smith,2070 Przybyla Blvd,,Spring,TX,77380
1970-02-04 01:02:32,12000000056,180.82,0.6,180.22,Charles,Barnes,2594 Smith St,Suite 93,Arlington,VA,22226,Charles,Barnes,2594 Smith St,Suite 93,Arlington,VA,22226
1970-02-04 04:08:00,12000000057,153.56,1.68,151.88,Karen,Goodness,9013 Allen Rd,,Mojave,CA,93501,Karen,Goodness,9013 Allen Rd,,Mojave,CA,93501
1970-02-04 15:37:32,12000000058,44.71,3.92,40.79,Blanche,Baker,9987 Colby Rd,,Toledo,OH,43604,Blanche,Baker,9987 Colby Rd,,Toledo,OH,43604
1970-02-05 19:04:58,12000000059,104.47,3.66,100.81,Jeffrey,Preece,7877 Kitchens St,,Camp Douglas,WI,54618,Jeffrey,Preece,7877 Kitchens St,,Camp Douglas,WI,54618
1970-02-06 05:32:20,12000000060,154.06,3.11,150.95,Tina,Schulle,6922 Bartos St,A-20,Shoals,IN,47581,Tina,Schulle,6922 Bartos St,A-20,Shoals,IN,47581
1970-02-06 16:54:00,12000000061,28.67,4.76,23.91,Diego,Campbell,4689 Conti Rd,B77,Campbell,AL,36727,Diego,Campbell,4689 Conti Rd,B77,Campbell,AL,36727
1970-02-06 18:38:34,12000000062,98.07,2.77,95.3,Leslie,Haak,6849 Quintana St,,Alanson,MI,49706,Leslie,Haak,6849 Quintana St,,Alanson,MI,49706
1970-02-07 19:35:32,12000000063,83.93,3.5,80.43,Michelle,Weaver,7979 Majors Rd,,Perkinston,MS,39573,Michelle,Weaver,7979 Majors Rd,,Perkinston,MS,39573
1970-02-08 03:00:23,12000000064,129.2,3.79,125.41,Chelsie,Lee,5269 Covert Blvd,,Greenville,SC,29605,Chelsie,Lee,5269 Covert Blvd,,Greenville,SC,29605
1970-02-09 04:05:38,12000000065,124.95,3.37,121.58,Patrick,Cross,5833 Fred St,,Hamlet,NC,28345,Patrick,Cross,5833 Fred St,,Hamlet,NC,28345
1970-02-09 08:03:24,12000000066,181.1,2.63,178.47,Katie,Principato,4408 Hudak Ct,,Almo,KY,42020,Katie,Principato,4408 Hudak Ct,,Almo,KY,42020
1970-02-10 05:04:31,12000000067,115.15,0.72,114.43,Jordan,Wiese,6730 Falls Rd,C6,Mindenmines,MO,64769,Jordan,Wiese,6730 Falls Rd,C6,Mindenmines,MO,64769
1970-02-11 03:31:47,12000000068,67.0,0.86,66.14,Tyler,Duffie,5355 Jackson Blvd,,Tarboro,NC,27886,Tyler,Duffie,5355 Jackson Blvd,,Tarboro,NC,27886
1970-02-11 14:46:31,12000000069,90.73,0.18,90.55,Mary,Greer,2821 Podesta St,,Atlanta,IL,61723,Mary,Greer,2821 Podesta St,,Atlanta,IL,61723
1970-02-12 11:15:02,12000000070,144.73,3.26,141.47,Iris,Moxley,9702 Fiene St,D29,Tacoma,WA,98450,Iris,Moxley,9702 Fiene St,D29,Tacoma,WA,98450
1970-02-13 08:50:40,12000000071,62.74,0.1,62.64,Charles,Rheaume,448 Islas Ct,,Springerville,AZ,85938,Charles,Rheaume,448 Islas Ct,,Springerville,AZ,85938
1970-02-13 19:05:43,12000000072,175.07,1.6,173.47,Kathleen,Wendt,5196 Turner St,,Dayton,OH,45414,Kathleen,Wendt,5196 Turner St,,Dayton,OH,45414
1970-02-14 11:20:18,12000000073,59.73,4.65,55.08,Lourdes,Downing,1235 Hunter Ct,,Nashville,TN,37242,Lourdes,Downing,1235 Hunter Ct,,Nashville,TN,37242
1970-02-15 07:51:27,12000000074,115.8,3.25,112.55,Heidi,Vant,8819 Roberson Blvd,,Rock Creek,OH,44084,Heidi,Vant,8819 Roberson Blvd,,Rock Creek,OH,44084
1970-02-16 00:43:37,12000000075,176.66,2.18,174.48,Ashley,Bixby,1475 Martin St,,Mesa,AZ,85212,Ashley,Bixby,1475 Martin St,,Mesa,AZ,85212
1970-02-16 12:29:13,12000000076,64.1,5.03,59.07,Douglas,Bynum,2259 Ostby Ct,,Friendly,WV,26146,Douglas,Bynum,2259 Ostby Ct,,Friendly,WV,26146
1970-02-16 17:19:50,12000000077,178.72,3.58,175.14,Deborah,Hobbs,2192 Kish Blvd,,Gaffney,SC,29342,Lee,Phelan,7931 Tolbert Blvd,,Boggstown,IN,46110
1970-02-17 17:33:04,12000000078,101.86,0.54,101.32,Kerry,Durk,4287 Beeson Rd,,Beaver,PA,15009,Kerry,Durk,4287 Beeson Rd,,Beaver,PA,15009
1970-02-18 10:30:53,12000000079,150.82,3.47,147.35,Victoria,Williams,7439 Cage Ave,,Eagle Pass,TX,78852,Victoria,Williams,7439 Cage Ave,,Eagle Pass,TX,78852
1970-02-18 23:29:33,12000000080,121.84,2.48,119.36,John,Smith,9673 Schlichter St,Ste. A100,Dyer,IN,46311,John,Smith,9673 Schlichter St,Ste. A100,Dyer,IN,46311
1970-02-19 13:01:53,12000000081,96.38,2.78,93.6,Norma,Cooley,9399 Barahona Ct,,Chicago Heights,IL,60412,Norma,Cooley,9399 Barahona Ct,,Chicago Heights,IL,60412
1970-02-20 02:25:23,12000000082,89.49,1.15,88.34,Kory,Kim,4859 Cremona Rd,,Melbourne,FL,32940,Emily,White,3990 Sharp St,,Chicago,IL,60690
1970-02-21 03:57:28,12000000083,125.55,1.11,124.44,Nathan,Martinez,7666 Mcginn Rd,,Woodville,VA,22749,Nathan,Martinez,7666 Mcginn Rd,,Woodville,VA,22749
1970-02-21 11:18:31,12000000084,142.8,4.18,138.62,Joseph,Willis,1417 Brown St,No. 52,Hooper,CO,81136,Joseph,Willis,1417 Brown St,No. 52,Hooper,CO,81136
1970-02-22 13:23:44,12000000085,85.4,3.32,82.08,Armand,Deluca,2901 Terrell Blvd,,Rockhill Furnace,PA,17249,Armand,Deluca,2901 Terrell Blvd,,Rockhill Furnace,PA,17249
1970-02-23 03:43:10,12000000086,139.95,1.5,138.45,Cynthia,Walter,7866 Clark Rd,,Atlanta,GA,30324,Cynthia,Walter,7866 Clark Rd,,Atlanta,GA,30324
1970-02-24 01:51:28,12000000087,175.41,2.27,173.14,James,Briscoe,2388 Benavides Rd,Ste. A93,Pearl River,NY,10965,Justin,Mcelligott,3085 Filipiak St,,Houston,TX,77030
1970-02-24 20:07:01,12000000088,195.8,3.51,192.29,Ashley,Herr,379 Floyd Ct,,Shelter Island Heights,NY,11965,Ashley,Herr,379 Floyd Ct,,Shelter Island Heights,NY,11965
1970-02-25 08:11:59,12000000089,52.71,3.25,49.46,Angela,Tatar,5996 Richardson Rd,,Great Falls,MT,59403,Angela,Tatar,5996 Richardson Rd,,Great Falls,MT,59403
1970-02-25 08:32:57,12000000090,31.47,3.31,28.16,Dana,Griffin,4306 Kinney Ave,,Lockport,IL,60441,Dana,Griffin,4306 Kinney Ave,,Lockport,IL,60441
1970-02-26 04:25:46,12000000091,86.16,2.49,83.67,Ashley,West,7556 Armon Rd,,Henning,AR,38041,Ashley,West,7556 Armon Rd,,Henning,AR,38041
1970-02-26 19:37:10,12000000092,130.14,3.18,126.96,Dwight,Olson,2573 Russell St,,Randolph,MN,55065,Dwight,Olson,2573 Russell St,,Randolph,MN,55065
1970-02-27 00:21:14,12000000093,131.57,4.83,126.74,Ruth,Sullivan,8014 Vasquez Rd,,Madera,CA,93637,Ruth,Sullivan,8014 Vasquez Rd,,Madera,CA,93637
1970-02-28 03:56:40,12000000094,196.65,1.88,194.77,Micheal,Benear,2601 Wingert,,Fort Lauderdale,FL,33328,Micheal,Benear,2601 Wingert,,Fort Lauderdale,FL,33328
1970-02-28 22:17:00,12000000095,28.72,1.36,27.36,Christie,Houghton,9518 Jennings,,Gibsonburg,OH,43431,Christie,Houghton,9518 Jennings,,Gibsonburg,OH,43431
1970-03-01 08:43:27,12000000096,116.65,1.67,114.98,Terri,Hatton,5228 Kocka St,,Cedar Lake,MI,48812,Terri,Hatton,5228 Kocka St,,Cedar Lake,MI,48812
1970-03-02 11:47:30,12000000097,40.75,1.47,39.28,Catarina,Reid,3662 Sanches Blvd,,Union Grove,AL,35175,Catarina,Reid,3662 Sanches Blvd,,Union Grove,AL,35175
1970-03-02 15:28:39,12000000098,104.82,3.02,101.8,Opal,Boyd,1680 Crawford,,Brush Creek,TN,38547,Norma,Riley,3175 Henderson Ct,,San Martin,CA,95046
1970-03-03 02:29:38,12000000099,71.79,3.42,68.37,Shaun,Cambron,9002 Do Blvd,,Washington,DC,20398,Shaun,Cambron,9002 Do Blvd,,Washington,DC,20398
1970-03-03 19:22:26,12000000100,146.68,3.03,143.65,Reginald,Snyder,4635 Middleton Rd,,Destin,FL,32540,Reginald,Snyder,4635 Middleton Rd,,Destin,FL,32540
1970-03-04 21:17:23,12000000101,176.28,3.88,172.4,David,Cox,5044 Iacobelli Ct,No. 60,Wakefield,MI,49968,David,Cox,5044 Iacobelli Ct,No. 60,Wakefield,MI,49968
1970-03-05 09:42:32,12000000102,28.98,4.49,24.49,Tracey,Rosemond,3917 Aguillon Blvd,,Hooven,OH,45033,Malia,Davis,3514 Hunt,,Caldwell,WV,24925
1970-03-05 18:35:05,12000000103,138.55,2.3,136.25,Allen,Terry,8702 Johnson Rd,,Joplin,MO,64804,Allen,Terry,8702 Johnson Rd,,Joplin,MO,64804
1970-03-06 06:45:06,12000000104,153.54,1.93,151.61,Terry,Hegmann,8889 Hernandez St,C-97,Montezuma,KS,67867,Terry,Hegmann,8889 Hernandez St,C-97,Montezuma,KS,67867
1970-03-06 23:11:30,12000000105,62.0,0.12,61.88,Ronald,Warnock,6378 Johnson St,,Stockland,IL,60967,Ronald,Warnock,6378 Johnson St,,Stockland,IL,60967
1970-03-08 01:39:37,12000000106,117.87,3.85,114.02,Alexander,Garcia,8600 Randazzo St,,New Boston,TX,75570,Alexander,Garcia,8600 Randazzo St,,New Boston,TX,75570
1970-03-08 15:16:23,12000000107,98.03,4.21,93.82,Leroy,Preston,2429 Bowman Blvd,,Big Bend,WI,53103,Leroy,Preston,2429 Bowman Blvd,,Big Bend,WI,53103
1970-03-09 00:23:11,12000000108,80.55,1.04,79.51,Robin,Robertson,4600 Jernigan St,,Fallbrook,CA,92088,Robin,Robertson,4600 Jernigan St,,Fallbrook,CA,92088
1970-03-09 15:02:49,12000000109,92.87,2.56,90.31,John,Bachelor,5405 Reeves,,Adrian,OR,97901,John,Bachelor,5405 Reeves,,Adrian,OR,97901
1970-03-10 02:27:32,12000000110,164.98,2.41,162.57,Ana,Anderson,7865 Dulany Rd,,Rio,IL,61472,Ana,Anderson,7865 Dulany Rd,,Rio,IL,61472
1970-03-10 22:47:48,12000000111,142.34,1.99,140.35,Jessica,Maxson,3221 House Ave,D-58,Smithfield,NE,68976,Jessica,Maxson,3221 House Ave,D-58,Smithfield,NE,68976
1970-03-11 15:25:30,12000000112,139.09,0.05,139.04,Michael,Nutt,3100 Patterson Ct,,Sawyer,OK,74756,Michael,Nutt,3100 Patterson Ct,,Sawyer,OK,74756
1970-03-12 07:03:27,12000000113,136.3,0.99,135.31,Edith,Elliot,4743 Moore St,,Stout,IA,50673,Edith,Elliot,4743 Moore St,,Stout,IA,50673
1970-03-12 10:01:25,12000000114,28.96,0.88,28.08,Marvin,Ailes,9399 Henderson Ct,,Waverly,AL,36879,Marvin,Ailes,9399 Henderson Ct,,Waverly,AL,36879
1970-03-13 09:31:54,12000000115,185.91,3.0,182.91,Maria,Keating,8027 Brewster Rd,,Genoa,WV,25517,Maria,Keating,8027 Brewster Rd,,Genoa,WV,25517
1970-03-14 10:33:55,12000000116,82.84,2.35,80.49,Jacqueline,Lieu,9648 Glass St,B4,Baltimore,MD,21216,Jacqueline,Lieu,9648 Glass St,B4,Baltimore,MD,21216
1970-03-14 17:47:23,12000000117,122.21,3.67,118.54,Ronnie,Jensen,5580 Hebert Rd,,Saint Cloud,MN,56303,Ronnie,Jensen,5580 Hebert Rd,,Saint Cloud,MN,56303
1970-03-15 16:39:07,12000000118,52.16,2.69,49.47,Jean,Williams,189 Cornett St,,Culloden,GA,31016,Hazel,Rossi,8825 Murphy St,,Oconomowoc,WI,53066
1970-03-15 16:55:32,12000000119,140.57,1.39,139.18,Brittany,Windle,6262 Knotts Blvd,,Graceville,FL,32440,Brittany,Windle,6262 Knotts Blvd,,Graceville,FL,32440
1970-03-15 17:40:31,12000000120,34.51,0.46,34.05,Curtis,Han,142 Moss St,Suite 78,Edmond,OK,73083,Curtis,Han,142 Moss St,Suite 78,Edmond,OK,73083
1970-03-16 10:40:15,12000000121,122.36,2.18,120.18,Catherine,Watson,7008 Brund Blvd,,Jacksonville,NC,28546,Catherine,Watson,7008 Brund Blvd,,Jacksonville,NC,28546
1970-03-17 10:20:01,12000000122,38.72,1.08,37.64,Ollie,Schmig,277 Westgate St,,Sherwood,OH,43556,Ollie,Schmig,277 Westgate St,,Sherwood,OH,43556
1970-03-18 01:55:12,12000000123,120.13,0.98,119.15,Vera,Philpot,5292 Richardson Blvd,,Montrose,AL,36559,Vera,Philpot,5292 Richardson Blvd,,Montrose,AL,36559
1970-03-18 09:54:23,12000000124,47.19,1.41,45.78,Louisa,Myers,4666 Hutchinson St,,Eldon,MO,65026,Louisa,Myers,4666 Hutchinson St,,Eldon,MO,65026
1970-03-18 18:08:18,12000000125,108.72,3.74,104.98,Ethel,Sumrall,2776 Crawford Ct,,Birchwood,WI,54817,Ethel,Sumrall,2776 Crawford Ct,,Birchwood,WI,54817
1970-03-19 21:33:38,12000000126,69.77,1.91,67.86,Karen,Bober,2360 Vaught St,,Lexington,NC,27295,Karen,Bober,2360 Vaught St,,Lexington,NC,27295
1970-03-20 02:47:12,12000000127,80.79,2.6,78.19,Herman,Newton,9520 Ansbro Blvd,,Meeker,CO,81641,Natalie,Melius,1676 Reed Blvd,,Pascagoula,MS,39595
1970-03-21 04:13:58,12000000128,29.46,4.78,24.68,Melinda,Staggers,1884 Mcdonald Rd,,Powder Springs,GA,30127,Melinda,Staggers,1884 Mcdonald Rd,,Powder Springs,GA,30127
1970-03-21 08:56:34,12000000129,112.03,3.24,108.79,Carlos,Peterson,1019 Kelso,,Shawnee Mission,KS,66209,Carlos,Peterson,1019 Kelso,,Shawnee Mission,KS,66209
1970-03-21 13:46:26,12000000130,109.43,1.31,108.12,Gertrud,Thoma,8424 Hockenberry Blvd,,Tamarack,MN,55787,Gertrud,Thoma,8424 Hockenberry Blvd,,Tamarack,MN,55787
1970-03-21 18:31:09,12000000131,47.13,3.62,43.51,Silva,Collelo,3427 Gravley St,,Pueblo,CO,81013,Silva,Collelo,3427 Gravley St,,Pueblo,CO,81013
1970-03-22 21:45:01,12000000132,131.75,4.59,127.16,Mary,Kiely,874 Izzo St,,Rio Oso,CA,95674,Mary,Kiely,874 Izzo St,,Rio Oso,CA,95674
1970-03-23 14:31:40,12000000133,149.51,2.17,147.34,Ernest,Rogers,8069 Henley St,C-4,Jonesboro,AR,72401,Ernest,Rogers,8069 Henley St,C-4,Jonesboro,AR,72401
1970-03-24 05:52:06,12000000134,94.85,4.31,90.54,Douglas,Sandoval,2259 Chung Rd,,Gardners,PA,17324,Douglas,Sandoval,2259 Chung Rd,,Gardners,PA,17324
1970-03-24 14:34:21,12000000135,86.07,4.73,81.34,Michael,Sanabria,8168 Salazar Ct,No. 31,Emporium,PA,15834,Michael,Sanabria,8168 Salazar Ct,No. 31,Emporium,PA,15834
1970-03-24 19:53:45,12000000136,92.64,3.97,88.67,Estella,Beck,2855 Ulloa Blvd,A-63,Saint Amant,LA,70774,Robin,Carter,8920 Leslie Ave,,Mountain Home,NC,28758
1970-03-25 22:48:15,12000000137,135.35,1.15,134.2,Lewis,Franklin,681 Chen St,,Green Park,PA,17031,Lewis,Franklin,681 Chen St,,Green Park,PA,17031
1970-03-26 06:47:05,12000000138,145.98,1.64,144.34,Manuel,Burns,7063 Webster Rd,,Frankford,MO,63441,Manuel,Burns,7063 Webster Rd,,Frankford,MO,63441
1970-03-26 12:48:32,12000000139,147.6,3.61,143.99,Emmaline,Johnson,6372 Hamm,Ste. A87,Lincoln,NE,68516,Emmaline,Johnson,6372 Hamm,Ste. A87,Lincoln,NE,68516
1970-03-27 13:50:59,12000000140,122.71,1.89,120.82,Darrell,Kelly,4556 Lynn St,B96,Forest,LA,71242,Darrell,Kelly,4556 Lynn St,B96,Forest,LA,71242
1970-03-27 15:02:15,12000000141,124.73,1.32,123.41,Margaret,Thompson,8896 Swafford St,B78,Victoria,MN,55386,Margaret,Thompson,8896 Swafford St,B78,Victoria,MN,55386
1970-03-28 04:58:58,12000000142,138.65,4.48,134.17,Michael,Hagadone,2594 Mccorkle St,,Brookshire,TX,77423,Melissa,Adelstein,488 Thompson Ct,,Syracuse,NY,13221
1970-03-28 22:59:46,12000000143,193.8,3.81,189.99,Bernard,Gaines,2783 Moffitt,,Sisseton,SD,57262,Bernard,Gaines,2783 Moffitt,,Sisseton,SD,57262
